sample,time_us,amplitude
461,11.525,0.001708984375
462,11.55,0.001953125
463,11.575,0.001953125
464,11.6,0.001708984375
465,11.625,0.001708984375
466,11.65,0.001708984375
467,11.675,0.001708984375
468,11.7,0.001953125
469,11.725,0.001708984375
470,11.75,0.001953125
471,11.775,0.001953125
472,11.8,0.001708984375
473,11.825,0.001708984375
474,11.85,0.001953125
475,11.875,0.001953125
476,11.9,0.001953125
477,11.925,0.002197265625
478,11.95,0.001953125
479,11.975,0.001953125
480,12.0,0.001953125
481,12.025,0.001708984375
482,12.05,0.001708984375
483,12.075,0.001708984375
484,12.1,0.001953125
485,12.125,0.001708984375
486,12.15,0.001708984375
487,12.175,0.001953125
488,12.2,0.001708984375
489,12.225,0.001708984375
490,12.25,0.001708984375
491,12.275,0.001708984375
492,12.3,0.001953125
493,12.325,0.00146484375
494,12.35,0.001708984375
495,12.375,0.001708984375
496,12.4,0.001953125
497,12.425,0.001708984375
498,12.45,0.001708984375
499,12.475,0.00146484375
500,12.5,0.001708984375
501,12.525,0.001708984375
502,12.55,0.001708984375
503,12.575,0.001708984375
504,12.6,0.001220703125
505,12.625,0.00146484375
506,12.65,0.001708984375
507,12.675,0.001708984375
508,12.7,0.001708984375
509,12.725,0.001708984375
510,12.75,0.00146484375
511,12.775,0.001708984375
512,12.8,0.001708984375
513,12.825,0.001708984375
514,12.85,0.001708984375
515,12.875,0.001220703125
516,12.9,0.00146484375
517,12.925,0.00146484375
518,12.95,0.001708984375
519,12.975,0.001708984375
520,13.0,0.001708984375
521,13.025,0.001708984375
522,13.05,0.00146484375
523,13.075,0.001708984375
524,13.1,0.001953125
525,13.125,0.001953125
526,13.15,0.001953125
527,13.175,0.00146484375
528,13.2,0.00146484375
529,13.225,0.001708984375
530,13.25,0.001708984375
531,13.275,0.001708984375
532,13.3,0.00146484375
533,13.325,0.001708984375
534,13.35,0.001708984375
535,13.375,0.00146484375
536,13.4,0.001708984375
537,13.425,0.00146484375
538,13.45,0.001708984375
539,13.475,0.00146484375
540,13.5,0.001708984375
541,13.525,0.001708984375
542,13.55,0.001708984375
543,13.575,0.00146484375
544,13.6,0.001220703125
545,13.625,0.00146484375
546,13.65,0.001708984375
547,13.675,0.001708984375
548,13.7,0.00146484375
549,13.725,0.001708984375
550,13.75,0.001708984375
551,13.775,0.001708984375
552,13.8,0.001708984375
