sample,amplitude
131,0.002197265625
132,0.001953125
133,0.002197265625
134,0.001953125
135,0.00244140625
136,0.002197265625
137,0.00244140625
138,0.00244140625
139,0.002197265625
140,0.00244140625
141,0.00244140625
142,0.001953125
143,0.00244140625
144,0.001953125
145,0.002197265625
146,0.001953125
147,0.002197265625
148,0.00244140625
149,0.002197265625
150,0.002197265625
151,0.00244140625
152,0.001953125
153,0.00244140625
154,0.002685546875
155,0.00244140625
156,0.00244140625
157,0.002197265625
158,0.00244140625
159,0.00244140625
160,0.00244140625
161,0.00244140625
162,0.00244140625
163,0.00244140625
164,0.002197265625
165,0.00244140625
166,0.00244140625
167,0.00244140625
168,0.00244140625
169,0.001953125
170,0.00244140625
171,0.002197265625
172,0.00244140625
173,0.00244140625
174,0.00244140625
175,0.00244140625
176,0.002197265625
177,0.00244140625
178,0.00244140625
179,0.00244140625
180,0.00244140625
181,0.00244140625
182,0.002197265625
183,0.00244140625
184,0.00244140625
185,0.00244140625
186,0.00244140625
187,0.00244140625
188,0.00244140625
189,0.00244140625
190,0.00244140625
191,0.002197265625
192,0.002197265625
193,0.002685546875
194,0.002197265625
195,0.00244140625
196,0.002197265625
197,0.002197265625
198,0.002197265625
199,0.00244140625
200,0.00244140625
201,0.002197265625
202,0.002197265625
203,0.002197265625
204,0.002197265625
205,0.002197265625
206,0.00244140625
207,0.00244140625
208,0.00244140625
209,0.002197265625
210,0.001953125
211,0.002197265625
212,0.002197265625
213,0.002197265625
214,0.002197265625
215,0.002197265625
216,0.002197265625
217,0.002197265625
218,0.002197265625
219,0.002197265625
220,0.002197265625
221,0.002197265625
222,0.002197265625
223,0.002197265625
224,0.002197265625
225,0.002197265625
226,0.002197265625
227,0.002197265625
228,0.002197265625
229,0.001953125
230,0.002197265625
231,0.002197265625
232,0.00244140625
233,0.001953125
234,0.002197265625
235,0.001953125
236,0.001953125
237,0.002197265625
238,0.001953125
239,0.002197265625
240,0.001953125
241,0.002197265625
242,0.001708984375
243,0.002197265625
244,0.001953125
245,0.002197265625
246,0.002197265625
247,0.002197265625
248,0.001953125
249,0.002197265625
250,0.002197265625
251,0.001953125
252,0.002197265625
253,0.001953125
254,0.001953125
255,0.002197265625
256,0.002197265625
257,0.001953125
258,0.002197265625
259,0.001953125
260,0.001953125
261,0.002197265625
262,0.001708984375
263,0.002197265625
264,0.001953125
265,0.001953125
266,0.001953125
267,0.001708984375
268,0.001953125
269,0.001953125
270,0.002197265625
271,0.001953125
272,0.001953125
273,0.002197265625
274,0.001953125
275,0.001953125
276,0.002197265625
277,0.001953125
278,0.001953125
279,0.002197265625
280,0.00244140625
281,0.002197265625
282,0.002197265625
283,0.001953125
284,0.001953125
285,0.001953125
286,0.001953125
287,0.002197265625
288,0.002197265625
289,0.002197265625
290,0.001953125
291,0.00244140625
292,0.002197265625
293,0.00244140625
294,0.002197265625
295,0.00244140625
296,0.002197265625
297,0.002197265625
298,0.002197265625
299,0.001953125
300,0.00244140625
301,0.002197265625
302,0.002197265625
303,0.001953125
304,0.002197265625
305,0.002197265625
306,0.00244140625
307,0.002197265625
308,0.001953125
309,0.002197265625
310,0.001953125
311,0.00244140625
312,0.002197265625
313,0.00244140625
314,0.001953125
315,0.002197265625
316,0.002197265625
317,0.002197265625
318,0.00244140625
319,0.002685546875
320,0.00244140625
321,0.00244140625
322,0.002197265625
323,0.00244140625
324,0.001953125
325,0.002685546875
326,0.002197265625
327,0.002197265625
328,0.002197265625
329,0.002197265625
330,0.002685546875
331,0.002197265625
332,0.002197265625
333,0.00244140625
334,0.00244140625
335,0.002197265625
336,0.00244140625
337,0.00244140625
338,0.002197265625
339,0.00244140625
340,0.002197265625
341,0.00244140625
342,0.00244140625
343,0.002197265625
344,0.00244140625
345,0.00244140625
346,0.001953125
347,0.002197265625
348,0.00244140625
349,0.00244140625
350,0.002197265625
351,0.002197265625
352,0.002197265625
353,0.00244140625
354,0.00244140625
355,0.002197265625
356,0.00244140625
357,0.002197265625
358,0.002197265625
359,0.001953125
360,0.002197265625
361,0.002197265625
362,0.001953125
363,0.002685546875
364,0.001953125
365,0.002197265625
366,0.00244140625
367,0.002197265625
368,0.002197265625
369,0.00244140625
370,0.002197265625
371,0.002197265625
372,0.00244140625
373,0.002197265625
374,0.002197265625
375,0.002197265625
376,0.00244140625
377,0.00244140625
378,0.002197265625
379,0.001953125
380,0.00244140625
381,0.002197265625
382,0.002197265625
383,0.00244140625
384,0.002197265625
385,0.002197265625
386,0.00244140625
387,0.002197265625
388,0.002197265625
389,0.001953125
390,0.002197265625
391,0.00244140625
392,0.002197265625
393,0.00244140625
394,0.002197265625
395,0.002197265625
396,0.00244140625
397,0.002197265625
398,0.002197265625
399,0.002197265625
400,0.002197265625
401,0.001953125
